# Temp(degC) R(kOhm)
# from Model Number G10K3435 Radial Glass Thermistor
# Measurement Specialities
10 18
11 17.28
12 16.6
13 15.94
14 15.32
15 14.72
16 14.15
17 13.6
18 13.08
19 12.58
20 12.1
21 11.64
22 11.21
23 10.79
24 10.38
25 10
26 9.631
27 9.278
28 8.94
29 8.615
30 8.304
31 8.006
32 7.72
33 7.445
34 7.182
35 6.929
36 6.687
37 6.454
38 6.23
39 6.015
40 5.809
41 5.611
42 5.42
43 5.237 
44 5.061
45 4.891
46 4.729
47 4.572
48 4.421
49 4.276
50 4.137
51 4.003
52 3.873
53 3.749
54 3.629
55 3.513
56 3.402
57 3.295
58 3.192
59 3.092
60 2.996
61 2.903
62 2.814
63 2.728
64 2.645
65 2.565
66 2.487
67 2.413
68 2.341
69 2.271
70 2.204
71 2.139
72 2.076
73 2.016
74 1.957
75 1.901
76 1.846
77 1.794
78 1.743
79 1.693
80 1.645
81 1.599
82 1.555
83 1.511
84 1.47
85 1.429 
